SINR,ISD
17.649942,1000
17.653108,1000
17.659441,1000
17.662599,1000
17.659409,1000
17.653053,1000
17.649874,1000
17.65304,1000
17.659383,1000
17.662556,1000
17.659383,1000
17.65304,1000
17.649874,1000
17.653053,1000
17.659409,1000
17.662599,1000
17.659441,1000
17.653108,1000
17.649942,1000
17.653108,1000
17.659441,1000
17.662599,1000
17.659409,1000
17.653053,1000
17.649874,1000
17.65304,1000
17.659383,1000
17.662556,1000
17.659383,1000
17.65304,1000
17.649874,1000
17.653053,1000
17.659409,1000
17.662599,1000
17.659441,1000
17.653108,1000
16.796646,1000
16.800749,1000
16.808956,1000
16.813051,1000
16.808921,1000
16.800687,1000
16.79657,1000
16.800674,1000
16.808893,1000
16.813006,1000
16.808893,1000
16.800674,1000
16.79657,1000
16.800687,1000
16.808921,1000
16.813051,1000
16.808956,1000
16.800749,1000
16.796646,1000
16.800749,1000
16.808956,1000
16.813051,1000
16.808921,1000
16.800687,1000
16.79657,1000
16.800674,1000
16.808893,1000
16.813006,1000
16.808893,1000
16.800674,1000
16.79657,1000
16.800687,1000
16.808921,1000
16.813051,1000
16.808956,1000
16.800749,1000
15.971857,1000
15.977111,1000
15.987624,1000
15.992872,1000
15.987585,1000
15.977042,1000
15.971773,1000
15.977029,1000
15.987556,1000
15.992824,1000
15.987556,1000
15.977029,1000
15.971773,1000
15.977042,1000
15.987585,1000
15.992872,1000
15.987624,1000
15.977111,1000
15.971857,1000
15.977111,1000
15.987624,1000
15.992872,1000
15.987585,1000
15.977042,1000
15.971773,1000
15.977029,1000
15.987556,1000
15.992824,1000
15.987556,1000
15.977029,1000
15.971773,1000
15.977042,1000
15.987585,1000
15.992872,1000
15.987624,1000
15.977111,1000
15.172804,1000
15.179461,1000
15.192783,1000
15.199437,1000
15.19274,1000
15.179384,1000
15.172712,1000
15.179371,1000
15.19271,1000
15.199386,1000
15.19271,1000
15.179371,1000
15.172712,1000
15.179384,1000
15.19274,1000
15.199437,1000
15.192783,1000
15.179461,1000
15.172804,1000
15.179461,1000
15.192783,1000
15.199437,1000
15.19274,1000
15.179384,1000
15.172712,1000
15.179371,1000
15.19271,1000
15.199386,1000
15.19271,1000
15.179371,1000
15.172712,1000
15.179384,1000
15.19274,1000
15.199437,1000
15.192783,1000
15.179461,1000
14.397022,1000
14.405372,1000
14.422087,1000
14.430439,1000
14.422038,1000
14.405287,1000
14.396921,1000
14.405274,1000
14.422008,1000
14.430385,1000
14.422008,1000
14.405274,1000
14.396921,1000
14.405287,1000
14.422038,1000
14.430439,1000
14.422087,1000
14.405372,1000
14.397022,1000
14.405372,1000
14.422087,1000
14.430439,1000
14.422038,1000
14.405287,1000
14.396921,1000
14.405274,1000
14.422008,1000
14.430385,1000
14.422008,1000
14.405274,1000
14.396921,1000
